months.year,months.month,months.zero_room_value,months.one_room_value,months.two_room_value,months.three_room_value,months.four_room_value,averages.zero_room_value,averages.one_room_value,averages.two_room_value,averages.three_room_value,averages.four_room_value
2019,12,1411.5,1834.95,2634.8,4234.5,2770.0,1393.93,1824.69,2598.21,4487.39,2846.13
2019,11,1411.5,1834.95,2634.8,4312.92,2770.0,1393.93,1824.69,2598.21,4487.39,2846.13
2019,10,1411.5,1834.95,2599.51,4391.33,2770.0,1393.93,1824.69,2598.21,4487.39,2846.13
2019,9,1411.5,1834.95,2623.04,4493.27,2770.0,1393.93,1824.69,2598.21,4487.39,2846.13
2019,8,1370.0,1834.95,2595.59,4603.06,2770.0,1393.93,1824.69,2598.21,4487.39,2846.13
2019,7,1491.14,1905.53,2572.07,4665.79,3683.6,1393.93,1824.69,2598.21,4487.39,2846.13
2019,6,1370.0,1786.72,2575.99,4493.27,2770.0,1393.93,1824.69,2598.21,4487.39,2846.13
2019,5,1370.0,1786.33,2587.75,4399.17,2770.0,1393.93,1824.69,2598.21,4487.39,2846.13
2019,4,1370.0,1786.33,2587.75,4548.17,2770.0,1393.93,1824.69,2598.21,4487.39,2846.13
2019,3,1370.0,1834.95,2595.59,4610.9,2770.0,1393.93,1824.69,2598.21,4487.39,2846.13
2019,2,1370.0,1811.43,2587.75,4516.8,2770.0,1393.93,1824.69,2598.21,4487.39,2846.13
2019,1,,1795.74,2603.43,4493.27,2716.67,1393.93,1824.69,2598.21,4487.39,2846.13
2019,12,1180.0,2215.27,2917.1,3293.5,3105.3,1180.0,2180.39,2921.54,3522.87,3105.3
2019,11,1180.0,2211.35,2925.1,3293.5,3105.3,1180.0,2180.39,2921.54,3522.87,3105.3
2019,10,1180.0,2177.94,2922.43,3434.65,3105.3,1180.0,2180.39,2921.54,3522.87,3105.3
2019,9,1180.0,2177.94,2917.1,3481.7,3105.3,1180.0,2180.39,2921.54,3522.87,3105.3
2019,8,1180.0,2177.94,2917.1,3575.8,3105.3,1180.0,2180.39,2921.54,3522.87,3105.3
2019,7,1180.0,2174.65,2917.1,3599.32,3105.3,1180.0,2180.39,2921.54,3522.87,3105.3
2019,6,1180.0,2177.94,2922.43,3575.8,3105.3,1180.0,2180.39,2921.54,3522.87,3105.3
2019,5,1180.0,2177.94,2919.77,3575.8,3105.3,1180.0,2180.39,2921.54,3522.87,3105.3
2019,4,1180.0,2168.06,2919.77,3575.8,3105.3,1180.0,2180.39,2921.54,3522.87,3105.3
2019,3,1180.0,2163.83,2925.1,3646.38,3105.3,1180.0,2180.39,2921.54,3522.87,3105.3
2019,2,1180.0,2163.83,2933.1,3646.38,3105.3,1180.0,2180.39,2921.54,3522.87,3105.3
2019,1,,,,,,1180.0,2180.39,2921.54,3522.87,3105.3
2019,12,1646.75,1976.1,2634.8,3678.06,5975.35,1491.26,1868.4,2573.11,3468.61,5385.09
2019,11,1646.75,1971.4,2634.8,3638.53,5975.35,1491.26,1868.4,2573.11,3468.61,5385.09
2019,10,1646.75,1845.93,2575.2,3448.76,5881.25,1491.26,1868.4,2573.11,3468.61,5385.09
2019,9,1552.65,1844.36,2567.99,3448.76,5881.25,1491.26,1868.4,2573.11,3468.61,5385.09
2019,8,1552.65,1844.83,2569.71,3448.76,5881.25,1491.26,1868.4,2573.11,3468.61,5385.09
2019,7,1397.67,1844.67,2571.44,3448.76,5881.25,1491.26,1868.4,2573.11,3468.61,5385.09
2019,6,1370.0,1845.3,2552.31,3448.76,5881.25,1491.26,1868.4,2573.11,3468.61,5385.09
2019,5,1370.0,1846.24,2550.42,3418.65,5881.25,1491.26,1868.4,2573.11,3468.61,5385.09
2019,4,1397.67,1844.83,2549.17,3398.58,4469.75,1491.26,1868.4,2573.11,3468.61,5385.09
2019,3,1411.5,1844.36,2549.17,3388.54,3764.0,1491.26,1868.4,2573.11,3468.61,5385.09
2019,2,,,,,,1491.26,1868.4,2573.11,3468.61,5385.09
2019,1,,1840.75,2549.17,3388.54,3575.8,1491.26,1868.4,2573.11,3468.61,5385.09
2019,12,969.23,1481.6,1879.65,2681.85,3434.65,1072.43,1287.37,1803.06,2445.62,3079.49
2019,11,969.23,1697.72,1882.0,2728.9,3199.4,1072.43,1287.37,1803.06,2445.62,3079.49
2019,10,969.23,1223.3,1787.9,2399.55,3008.85,1072.43,1287.37,1803.06,2445.62,3079.49
2019,9,972.367,1223.3,1787.9,2399.55,3011.2,1072.43,1287.37,1803.06,2445.62,3079.49
2019,8,973.935,1229.57,1787.9,2404.25,3026.88,1072.43,1287.37,1803.06,2445.62,3079.49
2019,7,975.503,1235.85,1787.9,2399.55,3058.25,1072.43,1287.37,1803.06,2445.62,3079.49
2019,6,978.64,1221.73,1787.9,2405.82,3058.25,1072.43,1287.37,1803.06,2445.62,3079.49
2019,5,978.64,1230.36,1787.9,2394.84,3042.57,1072.43,1287.37,1803.06,2445.62,3079.49
2019,4,1370.0,1231.93,1787.12,2397.2,3050.41,1072.43,1287.37,1803.06,2445.62,3079.49
2019,3,1370.0,1226.44,1784.76,2383.87,3045.7,1072.43,1287.37,1803.06,2445.62,3079.49
2019,2,1370.0,1223.3,1787.9,2352.5,3006.5,1072.43,1287.37,1803.06,2445.62,3079.49
2019,1,1370.0,1223.3,1783.19,2352.5,3048.84,1072.43,1287.37,1803.06,2445.62,3079.49
2019,12,1465.61,1815.19,2681.85,4532.48,14115.0,1449.14,1887.78,2822.83,3692.78,10081.41
