id,name,city,state,occupancy,total_listing,airbnb_listings,single_home_value,single_home_value_formatted,mashMeter,investment_rentals.airbnb_rental.roi,investment_rentals.airbnb_rental.cap_rate,investment_rentals.airbnb_rental.rental_income,investment_rentals.traditional_rental.roi,investment_rentals.traditional_rental.cap_rate,investment_rentals.traditional_rental.rental_income
403302,Cabrini Green,Chicago,IL,67.1929,41,337,449000,"$449,000 ",84.21,1.75074123,14.25329263,5333.106994,1.105315082,8.186091314,3062.9625
403298,Goose Island,Chicago,IL,67.2055,6,326,370000,"$370,000 ",65.89,1.753102044,15.10863709,4658.496437,2.863938252,9.136402703,2817.0575
403313,Fulton River District,Chicago,IL,65.2485,24,326,482000,"$482,000 ",86.46,0.960926137,11.58246675,4652.29081,1.090619692,7.712197095,3097.7325
269589,Lake View,Chicago,IL,64.3427,43,321,525000,"$525,000 ",84.58,2.339504391,8.962190069,3920.958155,0.750725258,5.195891429,2273.2025
269597,Near North,Chicago,IL,65.0662,238,302,449000,"$449,000 ",81.35,1.16125213,16.06188152,6009.82067,0.65584725,12.62424722,4723.5725
403309,West De Paul,Chicago,IL,66.2799,42,293,679000,"$679,000 ",89.95,1.141787393,7.100644933,4017.781591,0.290341196,4.181173785,2365.8475
403311,East Ukrainian Village,Chicago,IL,67.0278,48,288,537000,"$537,000 ",84.95,1.462874747,8.231990969,3683.815959,1.413427485,5.028664804,2250.3275
403310,Noble Square,Chicago,IL,68.1866,28,284,467000,"$467,000 ",67.35,2.711164795,10.45884215,4070.232736,1.136636387,5.085006424,1978.915
403307,Wrightwood Neighbors,Chicago,IL,66.5053,64,283,594950,"$594,950 ",84.85,1.919025183,8.201938344,4066.452681,1.061751475,4.929883183,2444.195
403322,West Loop Gate,Chicago,IL,62.0641,38,281,309750,"$309,750 ",85.96,2.189815178,16.33656528,4216.875913,1.978895623,11.02431961,2845.6525
